review,rating,date,bank,source,sentiment_result,sentiment_label,sentiment_score,clean_review,themes
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9997958540916443}",NEGATIVE,0.9997958540916443,like childish app well bad see,Other
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997678399085999}",POSITIVE,0.9997678399085999,problem solver application ahead cbe love,Other
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9491770267486572}",POSITIVE,0.9491770267486572,good try facilitate client,Other
best app,5,2025-06-01,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999686598777771}",POSITIVE,0.999686598777771,good app,Other
Awesome bank,5,2025-06-01,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998461008071899}",POSITIVE,0.9998461008071899,awesome bank,Other
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9983141422271729}",NEGATIVE,0.9983141422271729,app develop good way comment need prevent screenshot likely good like coz need screenshot quick evidence good access recent transaction history day coz not bank person old transaction add colander category user easily access old transaction colander,"Login Issues, Feature Request"
Masha alla,5,2025-05-31,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9514628052711487}",NEGATIVE,0.9514628052711487,masha alla,Other
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9991102814674377}",NEGATIVE,0.9991102814674377,recently big problem send safaricom telebir cbebirr wallet anybody responsible fix frustrating day money not return take account not send mpesa update correct send money m afraid send,Other
better service,5,2025-05-31,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9982219338417053}",POSITIVE,0.9982219338417053,well service,Other
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998370409011841}",POSITIVE,0.9998370409011841,good app time manager,Other
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9887813329696655}",NEGATIVE,0.9887813329696655,malkaamuu jiidhaa namoo,Other
lower system everything,3,2025-05-30,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9993475079536438}",NEGATIVE,0.9993475079536438,low system,Other
Nice!,5,2025-05-30,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999863862991333}",POSITIVE,0.999863862991333,nice,Other
Keep it up My CBE,5,2025-05-29,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9996104836463928}",POSITIVE,0.9996104836463928,cbe,Other
yes good,5,2025-05-28,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998410940170288}",POSITIVE,0.9998410940170288,yes good,Other
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9996353387832642}",NEGATIVE,0.9996353387832642,app year problem stop work month ago try transfer fund give error not transaction inactive account,Other
i like everything of this app,5,2025-05-27,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9996908903121948}",POSITIVE,0.9996908903121948,like app,Other
good,5,2025-05-27,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.6856130361557007}",NEGATIVE,0.6856130361557007,network,Other
Best,5,2025-05-26,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997941851615906}",POSITIVE,0.9997941851615906,well,Other
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9982792139053345}",POSITIVE,0.9982792139053345,cbe good financial application dimple use like thank developer application appreciate app,Other
nice,5,2025-05-26,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998552799224854}",POSITIVE,0.9998552799224854,nice,Other
good job,5,2025-05-26,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999835729598999}",POSITIVE,0.999835729598999,good job,Other
Good,5,2025-05-25,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
it's awesome!!,5,2025-05-25,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999871015548706}",POSITIVE,0.999871015548706,awesome,Other
best,5,2025-05-25,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997941851615906}",POSITIVE,0.9997941851615906,well,Other
thankyou every one,5,2025-05-25,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998461008071899}",POSITIVE,0.9998461008071899,thankyou,Other
best app,5,2025-05-25,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999686598777771}",POSITIVE,0.999686598777771,good app,Other
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9948286414146423}",POSITIVE,0.9948286414146423,ronaldo,Other
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998852014541626}",POSITIVE,0.9998852014541626,app absolutely fantastic love enjoy let support foundation,Customer Support
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9997394680976868}",NEGATIVE,0.9997394680976868,cbe app highly unreliable recent week frequently fail work properly ethio telecom safaricom network wifi mobile datum week system entirely extended period make difficult access banking service app function intermittently lack consistency frustrating hope issue address soon nontechnical influence remove essential service,"Login Issues, Feature Request"
mortuary app,5,2025-05-25,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.7924920320510864}",NEGATIVE,0.7924920320510864,mortuary app,Other
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9961044788360596}",NEGATIVE,0.9961044788360596,smart app stop period time device reason,Other
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9991408586502075}",POSITIVE,0.9991408586502075,amazing app app year,Other
👍,5,2025-05-24,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.6970566511154175}",NEGATIVE,0.6970566511154175,,Other
good app,5,2025-05-24,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998493194580078}",POSITIVE,0.9998493194580078,good app,Other
i love it 😍😘,5,2025-05-24,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998791217803955}",POSITIVE,0.9998791217803955,love,Other
It makes life easy!👌,5,2025-05-24,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9993600249290466}",POSITIVE,0.9993600249290466,make life easy,Other
its not fast,1,2025-05-24,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9949808716773987}",NEGATIVE,0.9949808716773987,fast,Other
wow,4,2025-05-24,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999592125415802}",POSITIVE,0.999592125415802,wow,Other
it is sooo good,5,2025-05-24,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998735189437866}",POSITIVE,0.9998735189437866,sooo good,Other
excellent,5,2025-05-24,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998434782028198}",POSITIVE,0.9998434782028198,excellent,Other
ok,1,2025-05-23,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997851252555847}",POSITIVE,0.9997851252555847,ok,Other
Fantastic,5,2025-05-23,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998743534088135}",POSITIVE,0.9998743534088135,fantastic,Other
accessible to using,5,2025-05-23,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999116837978363}",POSITIVE,0.999116837978363,accessible,Login Issues
I like it,4,2025-05-23,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998593330383301}",POSITIVE,0.9998593330383301,like,Other
good,5,2025-05-23,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
why you change default network?,5,2025-05-23,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9962357878684998}",NEGATIVE,0.9962357878684998,change default network,Other
very nice 👍,5,2025-05-23,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998577833175659}",POSITIVE,0.9998577833175659,nice,Other
nice fast app,5,2025-05-23,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999833345413208}",POSITIVE,0.999833345413208,nice fast app,Other
best,5,2025-05-23,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997941851615906}",POSITIVE,0.9997941851615906,well,Other
how to I get my money,5,2025-05-22,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9934091567993164}",NEGATIVE,0.9934091567993164,money,Other
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9998165965080261}",NEGATIVE,0.9998165965080261,bad not load need improve service,Other
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9649854898452759}",POSITIVE,0.9649854898452759,good app reliable crash,Performance
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9991938471794128}",NEGATIVE,0.9991938471794128,busy not know prefer,Other
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9966771602630615}",NEGATIVE,0.9966771602630615,nasty lag hour fix rest,Other
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9986202716827393}",NEGATIVE,0.9986202716827393,boring mobil banking application ethiopiaplease use alternative private bank mobile banking app,Other
hojii bonsaadha,5,2025-05-22,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9568662047386169}",POSITIVE,0.9568662047386169,hojii bonsaadha,Other
ok,5,2025-05-22,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997851252555847}",POSITIVE,0.9997851252555847,ok,Other
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.955450713634491}",POSITIVE,0.955450713634491,userfriendly appsbecause app easy,Other
Awosome!!!,5,2025-05-22,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.6944891810417175}",POSITIVE,0.6944891810417175,awosome,Other
"Very good app,",5,2025-05-22,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998691082000732}",POSITIVE,0.9998691082000732,good app,Other
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.992516815662384}",NEGATIVE,0.992516815662384,sync problem date stack help pls,Customer Support
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997020363807678}",POSITIVE,0.9997020363807678,app nice,Other
I hate this app 😒,1,2025-05-22,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9996378421783447}",NEGATIVE,0.9996378421783447,hate app,Other
trustful,5,2025-05-22,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998213648796082}",POSITIVE,0.9998213648796082,trustful,Other
I like,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998149275779724}",POSITIVE,0.9998149275779724,like,Other
update issue,4,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.5473247170448303}",POSITIVE,0.5473247170448303,update issue,Other
its not working over safari network,1,2025-05-21,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9991377592086792}",NEGATIVE,0.9991377592086792,work safari network,Other
oldie,1,2025-05-21,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.6663163304328918}",NEGATIVE,0.6663163304328918,oldie,Other
it doesn't work,1,2025-05-21,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9997813105583191}",NEGATIVE,0.9997813105583191,not work,Other
best,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997941851615906}",POSITIVE,0.9997941851615906,well,Other
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999855637550354}",POSITIVE,0.999855637550354,app good,Other
ok,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997851252555847}",POSITIVE,0.9997851252555847,ok,Other
best app,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999686598777771}",POSITIVE,0.999686598777771,good app,Other
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9994401335716248}",POSITIVE,0.9994401335716248,nice app android phone,Other
good app,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998493194580078}",POSITIVE,0.9998493194580078,good app,Other
Yes Yes,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997482895851135}",POSITIVE,0.9997482895851135,yes yes,Other
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.7850591540336609}",NEGATIVE,0.7850591540336609,,Other
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9981144666671753}",POSITIVE,0.9981144666671753,easy use helpful life,Customer Support
good 👍,4,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998576641082764}",POSITIVE,0.9998576641082764,good,Other
the best mobile banking app,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998278617858887}",POSITIVE,0.9998278617858887,good mobile banking app,Other
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9992597699165344}",POSITIVE,0.9992597699165344,app useful appit save timeand secure,Other
ok,2,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997851252555847}",POSITIVE,0.9997851252555847,ok,Other
it's a good application 👍,5,2025-05-21,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998123049736023}",POSITIVE,0.9998123049736023,good application,Other
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9997513890266418}",NEGATIVE,0.9997513890266418,screenshot reffresh option annoying make transaction delay activity,Other
poor service,1,2025-05-20,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9996534585952759}",NEGATIVE,0.9996534585952759,poor service,Other
amazing,5,2025-05-20,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999875545501709}",POSITIVE,0.999875545501709,amazing,Other
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998389482498169}",POSITIVE,0.9998389482498169,reliable easy use,Other
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9994208812713623}",NEGATIVE,0.9994208812713623,annoying mobile banking app ve see,Other
Cbe mobile banking,5,2025-05-20,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.8304283022880554}",POSITIVE,0.8304283022880554,cbe mobile banking,Other
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9966920614242554}",NEGATIVE,0.9966920614242554,not screenshout app modification,Other
Best app I loved it,5,2025-05-18,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999849796295166}",POSITIVE,0.999849796295166,good app love,Other
nice app,5,2025-05-18,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998061060905457}",POSITIVE,0.9998061060905457,nice app,Other
wow,5,2025-05-18,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999592125415802}",POSITIVE,0.999592125415802,wow,Other
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.6448792219161987}",NEGATIVE,0.6448792219161987,amazing applicatiom not work,Other
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998588562011719}",POSITIVE,0.9998588562011719,satisfied beautiful app,Other
very good,4,2025-05-17,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998520612716675}",POSITIVE,0.9998520612716675,good,Other
best app.,5,2025-05-17,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999774158000946}",POSITIVE,0.999774158000946,good app,Other
good,5,2025-05-17,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
"not working,why???",5,2025-05-17,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9995881915092468}",NEGATIVE,0.9995881915092468,workingwhy,Other
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9841780066490173}",NEGATIVE,0.9841780066490173,great impact developer option turnoff fix,Other
excellent,5,2025-05-17,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998434782028198}",POSITIVE,0.9998434782028198,excellent,Other
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9996201992034912}",NEGATIVE,0.9996201992034912,disappoint especially ios similar local application extremely superior application disappointing,Other
woxe harimo ribiso,5,2025-05-16,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9374372959136963}",NEGATIVE,0.9374372959136963,woxe harimo ribiso,Other
good,5,2025-05-16,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
"Good ,easy to use",5,2025-05-16,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998592138290405}",POSITIVE,0.9998592138290405,good easy use,Other
Good app,5,2025-05-15,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998493194580078}",POSITIVE,0.9998493194580078,good app,Other
Good job👍,5,2025-05-14,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998576641082764}",POSITIVE,0.9998576641082764,good job,Other
good,5,2025-05-14,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
nice,5,2025-05-14,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998552799224854}",POSITIVE,0.9998552799224854,nice,Other
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9939066767692566}",POSITIVE,0.9939066767692566,kindly ask update app allow screenshot convenient efficient long add security access reason block screenshoote screen,"Login Issues, Feature Request"
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9474119544029236}",NEGATIVE,0.9474119544029236,cbe mobile banking app overall appreciate feutere ve nottice turn developer option divice appstop function prorerly itwould great look issue l need access developer set otter application thankyou attention matter,Login Issues
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9996613264083862}",NEGATIVE,0.9996613264083862,customer service bad good bank,Other
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.992915153503418}",NEGATIVE,0.992915153503418,amazing mobile banking appbut screenshot receipt not work,Other
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9984942674636841}",POSITIVE,0.9984942674636841,fast simple easy use,Other
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9844427704811096}",POSITIVE,0.9844427704811096,fast transferring app reliable,Other
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9986681938171387}",NEGATIVE,0.9986681938171387,fund transfer bank reflect account confirmation text message receive,Other
it's easy and fast,5,2025-05-10,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9995684027671814}",POSITIVE,0.9995684027671814,easy fast,Other
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9960438013076782}",NEGATIVE,0.9960438013076782,app not self activation look near cbe branch s disgust,Other
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.999572217464447}",POSITIVE,0.999572217464447,hello dearest cbe office personnel benefit interest free account thank help,Customer Support
wow best application ever,5,2025-05-09,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997984766960144}",POSITIVE,0.9997984766960144,wow good application,Other
good,5,2025-05-09,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9998161196708679}",POSITIVE,0.9998161196708679,good,Other
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,"{'label': 'NEGATIVE', 'score': 0.9997019171714783}",NEGATIVE,0.9997019171714783,sorry developer mode application hack sure developer stupid not make sense,Other
Best,4,2025-05-08,CBE,Google Play,"{'label': 'POSITIVE', 'score': 0.9997941851615906}",POSITIVE,0.9997941851615906,well,Other
