review,rating,date,bank,source,sentiment
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,negative
i like everything of this app,5,2025-05-27,CBE,Google Play,positive
good,5,2025-05-27,CBE,Google Play,positive
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,neutral
Best,5,2025-05-26,CBE,Google Play,positive
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,positive
nice,5,2025-05-26,CBE,Google Play,positive
good job,5,2025-05-26,CBE,Google Play,positive
Good,5,2025-05-25,CBE,Google Play,positive
it's awesome!!,5,2025-05-25,CBE,Google Play,positive
best,5,2025-05-25,CBE,Google Play,positive
thankyou every one,5,2025-05-25,CBE,Google Play,neutral
best app,5,2025-05-25,CBE,Google Play,positive
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,neutral
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,positive
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,negative
mortuary app,5,2025-05-25,CBE,Google Play,neutral
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,positive
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,positive
👍,5,2025-05-24,CBE,Google Play,neutral
good app,5,2025-05-24,CBE,Google Play,positive
i love it 😍😘,5,2025-05-24,CBE,Google Play,positive
It makes life easy!👌,5,2025-05-24,CBE,Google Play,neutral
its not fast,1,2025-05-24,CBE,Google Play,neutral
wow,4,2025-05-24,CBE,Google Play,positive
it is sooo good,5,2025-05-24,CBE,Google Play,positive
excellent,5,2025-05-24,CBE,Google Play,positive
ok,1,2025-05-23,CBE,Google Play,positive
Fantastic,5,2025-05-23,CBE,Google Play,positive
accessible to using,5,2025-05-23,CBE,Google Play,neutral
I like it,4,2025-05-23,CBE,Google Play,positive
good,5,2025-05-23,CBE,Google Play,positive
why you change default network?,5,2025-05-23,CBE,Google Play,neutral
very nice 👍,5,2025-05-23,CBE,Google Play,positive
nice fast app,5,2025-05-23,CBE,Google Play,positive
best,5,2025-05-23,CBE,Google Play,positive
how to I get my money,5,2025-05-22,CBE,Google Play,neutral
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,negative
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,positive
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,neutral
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,negative
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,negative
hojii bonsaadha,5,2025-05-22,CBE,Google Play,neutral
ok,5,2025-05-22,CBE,Google Play,positive
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,positive
Awosome!!!,5,2025-05-22,CBE,Google Play,neutral
"Very good app,",5,2025-05-22,CBE,Google Play,positive
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,positive
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,positive
I hate this app 😒,1,2025-05-22,CBE,Google Play,negative
trustful,5,2025-05-22,CBE,Google Play,positive
I like,5,2025-05-21,CBE,Google Play,positive
update issue,4,2025-05-21,CBE,Google Play,neutral
its not working over safari network,1,2025-05-21,CBE,Google Play,neutral
oldie,1,2025-05-21,CBE,Google Play,neutral
it doesn't work,1,2025-05-21,CBE,Google Play,neutral
best,5,2025-05-21,CBE,Google Play,positive
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,positive
ok,5,2025-05-21,CBE,Google Play,positive
best app,5,2025-05-21,CBE,Google Play,positive
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,positive
good app,5,2025-05-21,CBE,Google Play,positive
Yes Yes,5,2025-05-21,CBE,Google Play,positive
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,neutral
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,positive
good 👍,4,2025-05-21,CBE,Google Play,positive
the best mobile banking app,5,2025-05-21,CBE,Google Play,positive
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,positive
ok,2,2025-05-21,CBE,Google Play,positive
it's a good application 👍,5,2025-05-21,CBE,Google Play,positive
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,negative
poor service,1,2025-05-20,CBE,Google Play,negative
amazing,5,2025-05-20,CBE,Google Play,positive
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,positive
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,negative
Cbe mobile banking,5,2025-05-20,CBE,Google Play,neutral
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,positive
Best app I loved it,5,2025-05-18,CBE,Google Play,positive
nice app,5,2025-05-18,CBE,Google Play,positive
wow,5,2025-05-18,CBE,Google Play,positive
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,positive
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,positive
very good,4,2025-05-17,CBE,Google Play,positive
best app.,5,2025-05-17,CBE,Google Play,positive
good,5,2025-05-17,CBE,Google Play,positive
"not working,why???",5,2025-05-17,CBE,Google Play,neutral
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,positive
excellent,5,2025-05-17,CBE,Google Play,positive
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,negative
woxe harimo ribiso,5,2025-05-16,CBE,Google Play,neutral
good,5,2025-05-16,CBE,Google Play,positive
"Good ,easy to use",5,2025-05-16,CBE,Google Play,positive
Good app,5,2025-05-15,CBE,Google Play,positive
Good job👍,5,2025-05-14,CBE,Google Play,positive
good,5,2025-05-14,CBE,Google Play,positive
nice,5,2025-05-14,CBE,Google Play,positive
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,positive
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,positive
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,negative
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,positive
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,positive
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,neutral
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,neutral
it's easy and fast,5,2025-05-10,CBE,Google Play,positive
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,negative
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,positive
wow best application ever,5,2025-05-09,CBE,Google Play,positive
good,5,2025-05-09,CBE,Google Play,positive
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,negative
Best,4,2025-05-08,CBE,Google Play,positive
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,positive
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,positive
good,5,2025-05-07,CBE,Google Play,positive
ok,5,2025-05-07,CBE,Google Play,positive
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,positive
good,3,2025-05-06,CBE,Google Play,positive
amazing apps,5,2025-05-06,CBE,Google Play,positive
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,neutral
needs improvement,1,2025-05-06,CBE,Google Play,positive
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,negative
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,positive
good,5,2025-05-06,CBE,Google Play,positive
good but these week not oky,4,2025-05-06,CBE,Google Play,positive
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,positive
Good app,5,2025-05-06,CBE,Google Play,positive
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,positive
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,positive
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,neutral
wow,1,2025-05-05,CBE,Google Play,positive
verygood,3,2025-05-05,CBE,Google Play,neutral
ممتاز جدا,5,2025-05-04,CBE,Google Play,neutral
it's very low quality application,1,2025-05-04,CBE,Google Play,negative
Very Amazing Apps,5,2025-05-04,CBE,Google Play,positive
አዛ,1,2025-05-04,CBE,Google Play,neutral
wow simple life,5,2025-05-04,CBE,Google Play,positive
it's nice,5,2025-05-03,CBE,Google Play,positive
Why stacked sometimes,5,2025-05-03,CBE,Google Play,neutral
good app,5,2025-05-03,CBE,Google Play,positive
nice,5,2025-05-03,CBE,Google Play,positive
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,positive
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,negative
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,negative
excellent,5,2025-05-02,CBE,Google Play,positive
good,5,2025-05-02,CBE,Google Play,positive
Good and fast,5,2025-05-02,CBE,Google Play,positive
Unreliable!,1,2025-05-02,CBE,Google Play,neutral
Best the best fast,5,2025-05-02,CBE,Google Play,positive
good app,5,2025-05-02,CBE,Google Play,positive
happy,5,2025-05-02,CBE,Google Play,positive
fast and reliable,5,2025-05-02,CBE,Google Play,neutral
network errorrrrrr,2,2025-05-02,CBE,Google Play,neutral
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,negative
its good and simple to use,5,2025-05-02,CBE,Google Play,positive
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,positive
it's the best app i,5,2025-05-02,CBE,Google Play,positive
not bad not good,1,2025-05-02,CBE,Google Play,positive
its very nice,5,2025-05-02,CBE,Google Play,positive
do not work this week,3,2025-04-30,CBE,Google Play,neutral
It crashes frequently,4,2025-04-30,CBE,Google Play,neutral
the best,5,2025-04-28,CBE,Google Play,positive
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,neutral
goid,5,2025-04-28,CBE,Google Play,neutral
best appearance,5,2025-04-27,CBE,Google Play,positive
it's very good 👍 app,5,2025-04-27,CBE,Google Play,positive
I need support you,5,2025-04-26,CBE,Google Play,positive
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,negative
super,5,2025-04-26,CBE,Google Play,positive
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,neutral
i like the app,5,2025-04-26,CBE,Google Play,positive
the Best,1,2025-04-26,CBE,Google Play,positive
nice,5,2025-04-26,CBE,Google Play,positive
good,5,2025-04-25,CBE,Google Play,positive
to other bank is bad,1,2025-04-25,CBE,Google Play,negative
tank's,5,2025-04-25,CBE,Google Play,neutral
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,positive
it is so nice,5,2025-04-24,CBE,Google Play,positive
good,5,2025-04-21,CBE,Google Play,positive
Very Good👍,5,2025-04-21,CBE,Google Play,neutral
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,negative
"wow, amazing app",5,2025-04-21,CBE,Google Play,positive
use ful,5,2025-04-21,CBE,Google Play,neutral
Great app,5,2025-04-21,CBE,Google Play,positive
well app,5,2025-04-20,CBE,Google Play,positive
Actually it is inactive,4,2025-04-19,CBE,Google Play,neutral
good,4,2025-04-19,CBE,Google Play,positive
ok,2,2025-04-19,CBE,Google Play,positive
best app,5,2025-04-19,CBE,Google Play,positive
amazing,1,2025-04-19,CBE,Google Play,positive
good,5,2025-04-19,CBE,Google Play,positive
I like,5,2025-04-19,CBE,Google Play,positive
"slow, only one account is used",2,2025-04-19,CBE,Google Play,neutral
ok,5,2025-04-18,CBE,Google Play,positive
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play,neutral
i like it,5,2025-04-18,CBE,Google Play,positive
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,neutral
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,positive
Thank you!!!,5,2025-04-18,CBE,Google Play,positive
i can't take screenshot,1,2025-04-18,CBE,Google Play,neutral
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,positive
perfectly special,5,2025-04-18,CBE,Google Play,positive
Fast and Reliable,5,2025-04-18,CBE,Google Play,neutral
good,5,2025-04-17,CBE,Google Play,positive
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play,positive
great app!!!,5,2025-04-17,CBE,Google Play,positive
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play,neutral
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play,positive
ok,3,2025-04-16,CBE,Google Play,positive
very nice app ever!!!,5,2025-04-16,CBE,Google Play,positive
the best app,5,2025-04-16,CBE,Google Play,positive
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play,positive
great,5,2025-04-15,CBE,Google Play,positive
Nice service,5,2025-04-15,CBE,Google Play,positive
great app,5,2025-04-15,CBE,Google Play,positive
it's special apps,5,2025-04-15,CBE,Google Play,positive
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play,neutral
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,CBE,Google Play,neutral
Good 🔥,5,2025-04-14,CBE,Google Play,positive
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play,positive
lebaa bank,5,2025-04-14,CBE,Google Play,neutral
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,neutral
OK,5,2025-04-13,CBE,Google Play,positive
grateful app,5,2025-04-13,CBE,Google Play,positive
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,CBE,Google Play,neutral
everthing wellbeok,3,2025-04-13,CBE,Google Play,neutral
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-12,CBE,Google Play,positive
nice app 👌,5,2025-04-12,CBE,Google Play,positive
why did this app is not screenshot,5,2025-04-12,CBE,Google Play,neutral
it so good app,5,2025-04-12,CBE,Google Play,positive
the best app,3,2025-04-12,CBE,Google Play,positive
جميل,5,2025-04-11,CBE,Google Play,neutral
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play,neutral
nice,5,2025-04-11,CBE,Google Play,positive
simply for used,4,2025-04-10,CBE,Google Play,neutral
wow keep up,5,2025-04-10,CBE,Google Play,positive
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE,Google Play,positive
good one,5,2025-04-10,CBE,Google Play,positive
best app.,5,2025-04-10,CBE,Google Play,positive
everything is easy thank you cebe,5,2025-04-10,CBE,Google Play,positive
ፈጣን ቀልጣፋ,5,2025-04-10,CBE,Google Play,neutral
good,5,2025-04-10,CBE,Google Play,positive
ok,5,2025-04-09,CBE,Google Play,positive
ጎበዝ,5,2025-04-09,CBE,Google Play,neutral
good app,5,2025-04-09,CBE,Google Play,positive
but this app says can't sync,5,2025-04-09,CBE,Google Play,neutral
waw,5,2025-04-09,CBE,Google Play,neutral
to slow,3,2025-04-09,CBE,Google Play,neutral
work on screen shot system,4,2025-04-08,CBE,Google Play,neutral
very very nice aplication,1,2025-04-08,CBE,Google Play,positive
Good,5,2025-04-08,CBE,Google Play,positive
wonder full and it is easy to use,5,2025-04-08,CBE,Google Play,positive
easy and reliable,2,2025-04-08,CBE,Google Play,positive
good,5,2025-04-08,CBE,Google Play,positive
it is Very Useful app 👍,5,2025-04-07,CBE,Google Play,positive
very good,5,2025-04-07,CBE,Google Play,positive
perfect app,5,2025-04-07,CBE,Google Play,positive
I like it.,5,2025-04-07,CBE,Google Play,positive
bugs,3,2025-04-07,CBE,Google Play,neutral
commerial Bank,5,2025-04-06,CBE,Google Play,neutral
Genat biru,2,2025-04-06,CBE,Google Play,neutral
🙏,5,2025-04-06,CBE,Google Play,neutral
it is good but it doesn't allow screen shot,4,2025-04-06,CBE,Google Play,neutral
the best one,5,2025-04-06,CBE,Google Play,positive
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,CBE,Google Play,positive
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play,neutral
Good!👍,3,2025-04-05,CBE,Google Play,neutral
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play,positive
good,5,2025-04-05,CBE,Google Play,positive
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE,Google Play,positive
easy to use,5,2025-04-05,CBE,Google Play,positive
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,CBE,Google Play,positive
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,CBE,Google Play,neutral
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,CBE,Google Play,positive
cool ❤,4,2025-04-04,CBE,Google Play,positive
Best app,5,2025-04-04,CBE,Google Play,positive
great app,5,2025-04-03,CBE,Google Play,positive
best banking App,4,2025-04-03,CBE,Google Play,positive
satisfied,5,2025-04-03,CBE,Google Play,positive
this app is very necessary app many people found it,5,2025-04-03,CBE,Google Play,neutral
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,CBE,Google Play,positive
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,CBE,Google Play,positive
excellent,5,2025-04-03,CBE,Google Play,positive
perfect,5,2025-04-02,CBE,Google Play,positive
thankyou,5,2025-04-02,CBE,Google Play,neutral
I Like it,5,2025-04-02,CBE,Google Play,positive
ok,5,2025-04-02,CBE,Google Play,positive
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play,positive
smart app,5,2025-04-02,CBE,Google Play,positive
isin ga'a,2,2025-04-02,CBE,Google Play,neutral
easy to use,5,2025-04-02,CBE,Google Play,positive
it's great,5,2025-04-02,CBE,Google Play,positive
very good app and stars faction with work,5,2025-04-01,CBE,Google Play,positive
It is excelent,5,2025-04-01,CBE,Google Play,neutral
Smart,5,2025-04-01,CBE,Google Play,positive
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,CBE,Google Play,neutral
very interesting app,5,2025-04-01,CBE,Google Play,positive
i like it,5,2025-04-01,CBE,Google Play,positive
wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,CBE,Google Play,neutral
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,CBE,Google Play,neutral
Excellent🙏app,5,2025-04-01,CBE,Google Play,neutral
the most useful,5,2025-04-01,CBE,Google Play,positive
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,CBE,Google Play,positive
Easy to use,5,2025-04-01,CBE,Google Play,positive
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,CBE,Google Play,neutral
Excellent !!!,5,2025-04-01,CBE,Google Play,positive
always we relay on,5,2025-04-01,CBE,Google Play,neutral
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,CBE,Google Play,positive
it's need more improvement like Tellbirr.,4,2025-04-01,CBE,Google Play,positive
goode app,5,2025-04-01,CBE,Google Play,neutral
a very nice app.👍👍👍,5,2025-04-01,CBE,Google Play,positive
safe easy & fast,5,2025-04-01,CBE,Google Play,positive
perfect,5,2025-04-01,CBE,Google Play,positive
it's good app,5,2025-04-01,CBE,Google Play,positive
nice,5,2025-04-01,CBE,Google Play,positive
good app,5,2025-04-01,CBE,Google Play,positive
It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,CBE,Google Play,negative
ጥሩ ነው,5,2025-04-01,CBE,Google Play,neutral
እጅግ በጣም ጥሩ አፕ,5,2025-04-01,CBE,Google Play,neutral
good,5,2025-04-01,CBE,Google Play,positive
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,CBE,Google Play,neutral
suitable app,4,2025-04-01,CBE,Google Play,neutral
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play,positive
Good,5,2025-04-01,CBE,Google Play,positive
nice app,5,2025-04-01,CBE,Google Play,positive
best transaction method of financial,5,2025-04-01,CBE,Google Play,positive
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,CBE,Google Play,positive
It literarily don't work at all,4,2025-04-01,CBE,Google Play,neutral
good give us plus,5,2025-04-01,CBE,Google Play,positive
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-03-31,CBE,Google Play,positive
before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-03-31,CBE,Google Play,neutral
Tnc Cbe,5,2025-03-31,CBE,Google Play,neutral
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,CBE,Google Play,positive
great apps,5,2025-03-31,CBE,Google Play,positive
Excellent,5,2025-03-31,CBE,Google Play,positive
Great app!,4,2025-03-31,CBE,Google Play,positive
nice,5,2025-03-31,CBE,Google Play,positive
CBE,5,2025-03-31,CBE,Google Play,neutral
very good 👍 👏,5,2025-03-31,CBE,Google Play,positive
great when it works,5,2025-03-31,CBE,Google Play,positive
"the app is very good, but why screenshots is impossible?",5,2025-03-31,CBE,Google Play,positive
excellent match application,5,2025-03-31,CBE,Google Play,positive
very good,5,2025-03-31,CBE,Google Play,positive
best app,5,2025-03-31,CBE,Google Play,positive
The Best app😍😍😍,5,2025-03-31,CBE,Google Play,positive
excellent app,5,2025-03-31,CBE,Google Play,positive
easy to use and user friendly,5,2025-03-31,CBE,Google Play,positive
good,5,2025-03-31,CBE,Google Play,positive
very nice,5,2025-03-31,CBE,Google Play,positive
